Sentence,Topic,Indices,ArgumentIndices,Move,RValue,Class,SentenceId,Set,DocId,PredictedArgument,CoarseClass
All of these methods use the local computer for solution of the firing problem for the proper sight angle and sight deflection for hitting the target . The organization examined 51 of the most prominent gun control studies in the world and found that there is no evidence linking stringent firearms laws with less violence . May improve acne * Can lower risk of ovarian and uterine cancer ...,gun control,"[(0, 44), (44, 55), (55, 69)]","[(46, 55)]",m1,0.818,IMP,C1.2645,train,doc_3987,no evidence linking stringent firearms laws with less violence,DISP
"Clone techniques can also be applied to material objects , such as the Shuriken Shadow Clone Technique . This is used to filter the detection results to avoid reporting clone groups that can be subsumed by other clone groups . So that would mean creating cloned embryos , implanting them and destroying ( presumably ) those ... will continue to age so that the genes in a newborn baby clone could be - say - 30 years old or more on the day of birth .",cloning,"[(0, 18), (18, 40), (40, 86)]","[(68, 86)]",-,0.0,MU,C2.555,train,doc_1369,baby clone could be - say - 30 years old or more on the day of birth .,MU
"In rural Kentucky , tax bases are small and budgets are already stretched . Ultimately the death penalty helps society feel better and be a better place . Overwhelmingly , people prefer life over death and fear death more than life .",death penalty,"[(0, 15), (15, 27), (27, 42)]","[(9, 27)]",m6,0.417,SP,C1.558,train,doc_2049,budgets are already stretched . Ultimately the death penalty helps society feel better and be a better place,SP
"In a hostile political environment , the courts have long been gun-control advocates ’ best friend . So our gun OWNERSHIP rate is ~22 times higher than it is in the Phillipines , yet their gun homicide rate is right in line with ours , despite massively fewer guns in civilian hands . Let ’ s hope that the Supreme Court ’ s decision in Heller can , in the long term , help restore a sense of balance to the gun debate and enable us to break the current political stalemate over guns in America .",gun control,"[(0, 19), (19, 44), (44, 97)]","[(21, 44)]",m1,0.92,IMP,C1.2537,train,doc_3886,"rate is ~22 times higher than it is in the Phillipines , yet their gun homicide rate is right in line with ours",DISP
"Many schools take their students out of the classroom and school environment for their educational development . Easy , and far cheaper than an array of clothes to cover the school year ! When students are not wearing school uniforms , they may claim that their daily clothes are more comfortable then school uniforms . Despite this fact , Indonesia has been facing heavy difficulties for the past years and would need to implement some of what more successful countries have done , to improve what ...",school uniforms,"[(0, 17), (17, 32), (32, 34), (34, 54), (54, 87)]","[(7, 49)]",m8,0.714,MG,C3.2101,train,doc_7401,"the classroom and school environment for their educational development . Easy , and far cheaper than an array of clothes to cover the school year ! When students are not wearing school uniforms , they may claim that their daily clothes are",MG
"These sites help people find things they need , when others are giving them away . I think school uniforms should be banned because they can be costly and are sometimes uncomfortable . And they said they are desperate to get a van to offer a mobile outreach service for families in the harder to reach areas of the East Lancashire area .",school uniforms,"[(0, 24), (24, 32), (32, 63)]","[(19, 32)]",m3,0.615,MISP,C1.2370,train,doc_7837,uniforms should be banned because they can be costly and are sometimes uncomfortable,DISP
"Support does not vary by income or education , but younger adults are more likely to support gun safety measures than are people over age 50 . The communication strategy of the National Rifle Association centers on the idea that passage of any gun-control measure is a step toward the elimination of all guns . When a person moves out of his house there is no guarantee that he/she will return back safely . From 1993 through 2008 , majorities had said it was more important to control gun ownership than to protect gun rights .",gun control,"[(0, 40), (40, 54), (54, 55), (55, 73), (73, 96)]","[(34, 70)]",m8,0.806,MG,C3.2617,train,doc_3815,Association centers on the idea that passage of any gun-control measure is a step toward the elimination of all guns . When a person moves out of his house there is no guarantee that he/she will,MG
"These changes were mainly the result of variations in the real minimum wage , since the average real hourly earnings varied little over the period . But , CBO clearly believes that -- even after employment losses -- that the minimum wage is an anti-poverty tool . This minimum wage increase would boost earnings for 13 million American workers —9.8 percent of the United States workforce . For instance , many small and medium–sized businesses are exempt from the federal minimum wage under the Fair Labor Standards Act .",minimum wage,"[(0, 39), (39, 46), (46, 47), (47, 59), (59, 89)]","[(39, 54)]",m2,0.934,MG,C3.1381,train,doc_5094,the minimum wage is an anti-poverty tool . This minimum wage increase would boost earnings,MG
"`` As the populations and economies of India and the United States continue to grow , we look forward to working together to meet our increasing energy needs in safe and environmentally friendly ways . '' ker , political scientist Michael W. Donnelly , asserted that the September 1999 nuclear accident in Tokaimura was the most significant crisis any Japanese government has ever co nfronted in Japan 's decades-lon As world leaders , you can work together to replace this small amount of energy from other readily available , very safe and affordable sources of energy to move us towards a carbon-free and nuclear-free future .",nuclear energy,"[(0, 36), (36, 64), (64, 106)]","[(41, 64)]",m1,0.821,IMP,C1.1930,train,doc_6760,"W. Donnelly , asserted that the September 1999 nuclear accident in Tokaimura was the most significant crisis any Japanese government has ever co",DISP
"Almost all the UT government schools have sent their uniforms for the lab testing here , some have already been sent , with no errors found . Not only would you be able to do such a thing , but all of your friends were doing it , too ! Functional easy-fit flat front short with side pockets and right hip pocket , center back elastic , and sits at the natural waist .",school uniforms,"[(0, 27), (27, 50), (50, 74)]","[(8, 18)]",-,0.0,MU,C2.1865,train,doc_7464,"their uniforms for the lab testing here , some have",MU
"In a free social environment , controlling weapons and going against gun controlare all different means of peace . That we must get rid of guns because a deranged lunatic may go on a shooting spree at any time and anyone who owns a gun out of fear of such a lunatic is paranoid . It is believed that the number one protection is a gun ; nevertheless it is also the number one cause of accidental death . Statistics show that the number of people who want to possess guns increases with every year .",gun control,"[(0, 27), (27, 54), (54, 55), (55, 66), (66, 96)]","[(44, 66)]",m3,0.87,MG,C3.2967,test,doc_3058,gun out of fear of such a lunatic is paranoid . It is believed that the number one protection is a gun,MG
"In reaction to this sharp erosion in the value of the minimum wage , action to raise the minimum wage in Congress has finally begun to stir . Some workers will lose jobs while others might find it more difficult to find an entry-level job . Argues that increases in the minimum wage , which apply only to money wages , will lead to a reduction in non-money wages , such as fringe benefits . If the cost of living is affordable and there is no concerns from the public .",minimum wage,"[(0, 28), (28, 45), (45, 48), (48, 74), (74, 91)]","[(28, 74)]",m1,0.935,MG,C3.1680,train,doc_5929,"Some workers will lose jobs while others might find it more difficult to find an entry-level job . Argues that increases in the minimum wage , which apply only to money wages , will lead to a reduction in non-money wages , such as fringe benefits",MG
"The results of this study determined that there were no statistically significant differences in overall student attendance or achievement in School A . Does your School Uniforms Supplier help you make a lasting footprint of success ? Buy Pants at a Store with a Guarantee Many stores such as Sears and Lands ’ End offer a guarantee that if the clothing rips or tears before the child outgrows it , they will replace it free of charge .",school uniforms,"[(0, 23), (23, 37), (37, 78)]","[(34, 50)]",-,0.0,MU,C2.1933,train,doc_7649,of success ? Buy Pants at a Store with a Guarantee Many stores such as Sears,MU
"The Laboratory is operated by Los Alamos National Security , LLC , for the Department of Energy EFFICIENCY ACHIEVING SUCCESS IN A DIFFICULT ENVIRONMENT Throughout the world fossil fuel reserves are depleting at a fast pace . It is not inevitable for the world to be full of nations that possess nuclear weapons .",nuclear energy,"[(0, 27), (27, 36), (36, 54)]","[(27, 36)]",-,1.0,PM,C1.1820,train,doc_6163,fossil fuel reserves are depleting at a fast pace,PM
"Given that Obama needs the votes of independents and needs to have young adults turn out in large numbers for the 2012 election , his decision to wage a multi-federal agency war against medical marijuana is an extremely bizarre political move . These funds can be diverted to other important sectors of the economy if marijuana is legalized and help to save a lot . '' AP An ATM sits next to a rack of marijuana clone plants that are used to grow medical marijuana on Wednesday at The Joint , a medical marijuana cooperative in Seattle .",marijuana legalization,"[(0, 42), (42, 64), (64, 98)]","[(42, 64)]",-,1.0,PM,C1.1163,train,doc_4308,These funds can be diverted to other important sectors of the economy if marijuana is legalized and help to save a lot,PM
"If there is more than one victim then two people from each family will be able to witness the execution ( Selection of Execution Witnesses 2011 ) .... In 1972 , the United States Supreme Court suspended the imposition of the death penalty , finding it unconstitutional because it was imposed disproportionately on minorities and the poor . This sentiment is exactly why having unexpected “ smaller ” victories is so effective ; the victories show that , even in states where people do not expect opposition to the death penalty , people are standing up against it .",death penalty,"[(0, 31), (31, 57), (57, 99)]","[(33, 57)]",m1,0.923,IMP,C1.742,train,doc_2696,"States Supreme Court suspended the imposition of the death penalty , finding it unconstitutional because it was imposed disproportionately on minorities and the poor",DISP
"Between the public 's relative skepticism of specific gun-control proposals and continued Republican opposition , public opinion might not be a game changing asset for gun control supporters . Studies have found that if there is a gun in a house , the women and children living in that house have a greater risk of falling prey to gun violence . Specific examples of guns being used successfully in self-defense are easy to find .",gun control,"[(0, 33), (33, 60), (60, 75)]","[(41, 60)]",m1,0.704,IMP,C1.2665,train,doc_3106,", the women and children living in that house have a greater risk of falling prey to gun violence",DISP
"In addition , some counties and/or cities within certain states may observe a higher current minimum wage than the rest of the state . A minimum wage that doesn ’ t buy as much as it used to is a minimum wage that is placing a lower value on work and doing less for minimum wage workers . While the Bureau of Labor Statistics ( BLS ) does not track minimum wage workers ’ productivity , it recently released information about the productivity of a close proxy : fast food and restaurant employees .",minimum wage,"[(0, 24), (24, 57), (57, 94)]","[(33, 57)]",m1,0.727,IMP,C1.1412,train,doc_5137,much as it used to is a minimum wage that is placing a lower value on work and doing less for minimum wage workers,DISP
"Logged A real desire to believe all the good you can of others and to make others as comfortable as you can will solve most of the problems . Some very sensitive students may feel more of a temptation to drop out of school entirely rather than acquiesce to a seemingly senseless conformity . And if that lowers their self-esteem , but assists in keeping the peace , do we care ?",school uniforms,"[(0, 29), (29, 53), (53, 72)]","[(32, 53)]",m1,0.875,IMP,C1.2838,test,doc_7731,students may feel more of a temptation to drop out of school entirely rather than acquiesce to a seemingly senseless conformity,DISP
"Despite the apparent success of some uniform policies , these often highly restrictive codes are not without problems . Furthermore , it encourages others to mock those who do not have their uniforms as perfect as perhaps their own little group . I also find that it allows me to buy fewer pieces of clothing since you don ’ t feel like you need a larger variety to avoid repeats . com has two convenient programs to help you with your school uniform needs : Direct to School Program",school uniforms,"[(0, 21), (21, 41), (41, 46), (46, 70), (70, 89)]","[(15, 64)]",m8,0.7749999999999999,MG,C3.2246,train,doc_7862,"not without problems . Furthermore , it encourages others to mock those who do not have their uniforms as perfect as perhaps their own little group . I also find that it allows me to buy fewer pieces of clothing since you don ’ t feel like you need",MG
"President Obama focusing on gun control this year would only stimulate gun-related interest groups , like the National Rifle Association , and encourage them to spend even more money to turn out the vote for Republican candidates . Never in the history of the United States ( and most other countries for that matter ) has a gun control policy decreased gun crime , gun injuries and/or gun deaths . In the story Perez also relayed just one of the many real world examples of private citizens heroically fending off an assailant intent on doing harm : “ Gun advocates point to a case in 1997",gun control,"[(0, 38), (38, 69), (69, 106)]","[(38, 69)]",-,1.0,PM,C1.2937,test,doc_3985,"Never in the history of the United States ( and most other countries for that matter ) has a gun control policy decreased gun crime , gun injuries and/or gun deaths",PM
"While it may seem trivial that your Oregon employer or boss did not pay the extra fifteen cents per hour , it is not . This fact highlights the challenges of ensuring compliance with minimum wage laws for tipped workers , as the employer contribution has been eroded by 20 years of inflation . Indexing for prices would not have caused the minimum wage to reach excessive levels during times when the economy was doing poorly or inﬂation was high—the lag in the more typical years prevents that .",minimum wage,"[(0, 42), (42, 53), (53, 89)]","[(42, 53)]",-,1.0,PM,C1.1508,train,doc_5258,the employer contribution has been eroded by 20 years of inflation,PM
"Thus , while religion might be tolerant about animal cloning , it completely against human cloning , supported in its position by popular and official rejection by most world governments ( Coupland , 48 ) . It has many us es : one of the most important is to repair problem areas in digital photos . This setting can not be null for an operation to create or deploy a delta clone ( that is , an operation of type delta ) .",cloning,"[(0, 36), (36, 56), (56, 83)]","[(37, 44)]",-,0.0,MU,C2.671,train,doc_1501,has many us es : one of,MU
"Instead , payment must be 85 % or higher of the minimum wage rate with a voucher from the Department of Labor . Some studies find that the adverse employment impact is greater for certain groups such as low-skilled workers and teenagers , but this too is a matter of contention . egally paying you less then the Ontario minimum wage , contact the Ontario Department of Labor immediately and they will advocate on your behalf .",minimum wage,"[(0, 27), (27, 42), (42, 77)]","[(29, 42)]",m1,0.867,IMP,C1.1654,train,doc_5896,employment impact is greater for certain groups such as low-skilled workers and teenagers,DISP
"In that comparison they focused on the fast food industry ( the leading employers of low wage earners and an industry that enforces the minimum wage ) . ee I believe that if we raise the minimum wage price we would be making easier for people to take advantage for people to work part time on minimum wage and make a good liv i egally paying you less then the Alberta minimum wage , contact the Alberta Department of Labor immediately and they will advocate on your behalf .",minimum wage,"[(0, 39), (39, 63), (63, 89)]","[(41, 63)]",m1,0.917,IMP,C1.1685,train,doc_5935,be making easier for people to take advantage for people to work part time on minimum wage and make a good liv,DISP
"Clatsop This measure would allow the commercial cultivation and sale of marijuana to adults through state-licensed stores , allows unlicensed cultivation and use of marijuana by adults , and prohibits restrictions on hemp . We called our crops “ mortgage-busters ” because you could pay off an entire house loan in one or two marijuana growing seasons . They can join small growing clubs , grow their own , or legally purchase up to 40 grams a month in licensed outlets .",marijuana legalization,"[(0, 42), (42, 57), (57, 82)]","[(43, 57)]",m1,0.933,IMP,C1.1014,train,doc_4127,could pay off an entire house loan in one or two marijuana growing seasons,DISP
"Many of these veterans suffer from Post-Traumatic Stress Disorder ( PTSD ) or other mental disabilities caused or exacerbated by their time in combat . In fact , it was in 1993 in Maryland that DNA was first used to overturn a death row sentence and prove that Kirk Bloodsworth was innocent after having spent nine years in prison . Amnesty International - tracks death penalty internationally , includes statistics and general information , country reports Association SAVE - provides support for individuals with claims of innocence on death row in the U.S. Death Watch International - Organization based in the UK exploring the issue of the death penalty on a global scale .",death penalty,"[(0, 30), (30, 45), (45, 114)]","[(31, 45)]",m1,0.933,IMP,C1.826,train,doc_2796,1993 in Maryland that DNA was first used to overturn a death row sentence,DISP
"Our online stores are secure and offer convenient shop at home service . A typical complaint is that the school uniform prevents the students from self-expression , which is a rather weak argument . In Australia , the Australian Scholarships Group , which specialises in helping parents save money when it comes to their children 's education , has tips for parents to get their child 's uniform cheaper .",school uniforms,"[(0, 18), (18, 26), (26, 70)]","[(18, 26)]",-,1.0,PM,C1.2423,train,doc_7817,the school uniform prevents the students from self-expression,PM
"We believe that it would not be in the best interest of our state , our citizens or our children to legalize a mind-altering drug that ranks as the most popular illegal drug used in the United States . Some actually believe that marijuana can have positive effects , such those for medical use . has been more than 40 years since Congress passed the current ban on marijuana , inflicting great harm on society just to prohibit a substance ...",marijuana legalization,"[(0, 43), (43, 54), (54, 81)]","[(43, 48)]",m1,0.455,SP,C1.1001,train,doc_4113,marijuana can have positive effects,SP
"But if we point out to them that the US has only 5 percent of the population of the world , they will have no answer . Gun ownership has been three times as high in Switzerland as in Germany , but the Swiss have had lower murder rates . SWITZERLAND HAS THE LOWEST GUN RELATED CRIME RATE OF ANY CIVILIZED COUNTRY IN THE WORLD ! Various government agencies as well as independent bodies including the United Nations Organization ( UNO ) have made extensive studies of gun crime and compiled a wide array of gun death statistics .",gun control,"[(0, 27), (27, 49), (49, 50), (50, 62), (62, 99)]","[(29, 62)]",m3,0.97,MG,C3.2744,train,doc_3915,"has been three times as high in Switzerland as in Germany , but the Swiss have had lower murder rates . SWITZERLAND HAS THE LOWEST GUN RELATED CRIME RATE OF ANY CIVILIZED COUNTRY",MG
"Of course , for abortion to sell , it has to be “ safe ” enough for the women so that they are not put off by the idea of contributing to lower birthrates ( or whatever other reason the abortion industry manufactures ) . The endless oppositions usually go nowhere , leaving the opponents even more committed to their stance . The interaction of public demand and access at the state level creates geographically varying environments in which abortion decisions are made .",abortion,"[(0, 45), (45, 62), (62, 84)]","[(0, 15)]",-,0.0,MU,C2.121,train,doc_334,"Of course , for abortion to sell , it has to be “ safe ”",MU
"In a free social environment , controlling weapons and going against gun controlare all different means of peace . In Chicago -- -we little people -- - without any Guns ; are at the Mercy of those with Guns thanks to Mayor Daley . Democrats running for reelection next year in conservative states will feel the need to back many of those amendments , opponents of the measure hope , and if enough of them pass , liberal gun control advocates will turn against the bill .",gun control,"[(0, 23), (23, 39), (39, 87)]","[(25, 39)]",m1,0.875,IMP,C1.2520,train,doc_3091,-- - without any Guns ; are at the Mercy of those with Guns,DISP
"Superintendent Russ Mayo has said the number of students who would need a district-provided uniform is unknown , but other districts have established such banks using only donated clothes . If kids are forced to wear uniforms , then terrorists can outfit a kid with a suicide vest under his uniform -- which they bought legitimately , or stole , or counterfeited . This possibly serious depression , left unnoticed , could be detrimental to the student 's mental and emotional health .",school uniforms,"[(0, 30), (30, 62), (62, 83)]","[(30, 62)]",-,1.0,PM,C1.2852,test,doc_7916,"If kids are forced to wear uniforms , then terrorists can outfit a kid with a suicide vest under his uniform -- which they bought legitimately , or stole , or counterfeited",PM
"Often the term `` gun control '' is used for the `` fewer guns '' positions in the controversy , as in , `` I 'm in favor of gun control . '' Saying that the pro-gun control groups are `` gun violence prevention groups `` is not neutral , since both sides of the argument want to prevent gun violence . In addition , any communication error resets the gun control installed so that the status indicates that the gun control is not installed .",gun control,"[(0, 35), (35, 45), (45, 86)]","[(31, 45)]",m6,0.5,SP,C1.2697,train,doc_3035,. '' Saying that the pro-gun control groups are `` gun violence prevention groups,SP
"That is , for many activities , high-skilled labor can be a substitute for low-skilled labor . While the federal minimum wage currently equals $ 7.25 per hour , federal law permits employers to pay tipped workers a base wage of only $ 2.13 per hour , provided that tips make up the difference . This rate applies to nonexempt employers with two or more employees and at least $ 500,000 in annual dollar volume of business , and also to smaller employers if employees are engaged in interstate commerce or production of good for commerce .",minimum wage,"[(0, 29), (29, 47), (47, 97)]","[(29, 38)]",m1,0.5,SP,C1.1321,train,doc_5017,federal law permits employers to pay tipped workers a,SP
"The abortion pill is a non-surgical , non-invasive , and private way of ending a pregnancy less than 9 weeks gestation . Without this alternative , a woman may be forced into giving birth to a child and forcefully condemned into taking up responsibilities in the family and society that she may be unwilling to shoulder . Others say only abortions performed after fetal viability , which means the ability of the fetus to survive outside the uterus , should be defined as late-term .",abortion,"[(0, 22), (22, 56), (56, 85)]","[(22, 56)]",-,1.0,PM,C1.32,train,doc_43,"Without this alternative , a woman may be forced into giving birth to a child and forcefully condemned into taking up responsibilities in the family and society that she may be unwilling to shoulder",PM
"However , such legislation came only after large-scale political conflict between pro- and anti-gun control forces ; further , the momentum of the pro-control forces could not be carried on into the mid-1990s . Gun control opponent groups spend far more than gun control supporters on campaign contributions . Though the Democrats have faltered badly in their gun-control push thus far , the battle is hardly over .",gun control,"[(0, 34), (34, 49), (49, 68)]","[(21, 37)]",-,0.0,MU,C2.2473,test,doc_3237,of the pro-control forces could not be carried on into the mid-1990s . Gun control opponent,MU
"`` Abortion refers to the premature expulsion of a human fetus either in a naturally spontaneous way , such as through a miscarriage , or by artificially induced methods '' ( Plowman 188 ) .... The Court has held that a doctor 's right to practice is not infringed by requiring a second physician to be present at abortions performed after viability in order to assist in saving the life of the fetus . herbal abortion success have experienced first hand the success of herbal abortions using emmenagogues ( herbs that encourage menstrual flow by promoting uterine contractions ) .",abortion,"[(0, 35), (35, 74), (74, 100)]","[(15, 38)]",-,0.0,MU,C2.282,train,doc_540,"spontaneous way , such as through a miscarriage , or by artificially induced methods '' ( Plowman 188 ) .... The Court has",MU
"Tools Jump clones Jump clones are extra clones you can use to jump from one location to another without having to undertake the whole journey in your ship . As with snapshots , creating a clone is nearly instantaneous and initially consumes no additional disk space . Other “ bans ” would outlaw reproductive cloning but permit therapeutic cloning .",cloning,"[(0, 29), (29, 47), (47, 60)]","[(58, 58)]",-,0.0,MU,C2.734,train,doc_1571,,MU
"`` The system we propose would eliminate penalties for adult marijuana users and would provide them with safe access to their recreational substance of choice . '' Faulhaber I think that marijuana should be legalized for the purpose of taking funds away from dangerous cartels , creating huge tax revenue , creating jobs , and for the welfare of the country . While many marijuana smokers and growers usually stand at odds against those who want to keep marijuana illegal , a small coalition is emerging .",marijuana legalization,"[(0, 31), (31, 61), (61, 87)]","[(31, 61)]",-,1.0,PM,C1.1074,train,doc_4196,"marijuana should be legalized for the purpose of taking funds away from dangerous cartels , creating huge tax revenue , creating jobs , and for the welfare of the country",PM
"Once it found an abnormal shutdown , it will warn you with a notification immediately ( See screenshot for example ) . In a slightly different scenario , a wife whose husband has recently died could have his DNA placed into one of her nucleated eggs and have a child with his same genetic potential . The user can use these to track their target as the seeds respond to their chakra only .",cloning,"[(0, 28), (28, 55), (55, 74)]","[(35, 55)]",m1,0.741,IMP,C1.299,train,doc_1025,could have his DNA placed into one of her nucleated eggs and have a child with his same genetic potential,DISP
Rising natural gas prices and growing concern over CO [ subscript 2 ] emissions have intensified interest in alternative methods for producing hydrogen . Nuclear Power Can not Save the Climate Climate change can only be prevented by using renewables The consideration of the brittle destruction under cosmic ray bombardment may be essential for equipment of deep space missions .,nuclear energy,"[(0, 24), (24, 40), (40, 60)]","[(24, 32)]",m1,0.5,SP,C1.2055,train,doc_6936,Nuclear Power Can not Save the Climate Climate,SP
"As the developing world increasingly embraces nuclear power to meet its growing energy needs , will the United States accelerate , maintain , or scale back production ? Our energy problems did not occur overnight , nor will they be fixed overnight , but lets not repeat history , either . Increased use of natural gas , oil , diesel , import of coal and the rapid deployment of renewable sources of power were all considered .",nuclear energy,"[(0, 28), (28, 51), (51, 77)]","[(1, 1)]",-,0.0,MU,C2.1804,train,doc_6595,,MU
"The House has approved a measure prosecutors and crime lab scientists say is needed because of concerns that a provision in Washington 's new legal marijuana law jeopardizes their ability to go after any pot crimes at all . In sum , these findings run counter to arguments suggesting the legalization of marijuana for medical purposes poses a danger to public health ... A patient 's doctor would have the right to prescribe medical marijuana for other conditions . It has been the subject of debate for decades concerning its potential medicinal effects and the harm it causes .",marijuana legalization,"[(0, 42), (42, 62), (62, 63), (63, 78), (78, 99)]","[(39, 76)]",m8,0.892,MG,C3.971,train,doc_4080,"In sum , these findings run counter to arguments suggesting the legalization of marijuana for medical purposes poses a danger to public health ... A patient 's doctor would have the right to prescribe medical marijuana for",MG
"The fact is , you can get a medical marijuana certification from your general practitioner , or any doctor who can write prescriptions . Smoking pot is harmful to the body and can have considerable negative health effects . The success of fundraising programs for various campaigns and organization often depends on their ability to offer a promising and convincing plan on how they will lead us all to success .",marijuana legalization,"[(0, 24), (24, 38), (38, 71)]","[(24, 38)]",-,1.0,PM,C1.1268,train,doc_4905,Smoking pot is harmful to the body and can have considerable negative health effects,PM
At least two medical marijuana companies have filed lawsuits against the state ’ s application process for licensing after their applications were denied in early 2014 . They could smoke on private property -- such as a balcony or front yard -- but not on public property . A majority ( 55 % ) of those in states that have legalized medical marijuana or have decriminalized ( or legalized ) marijuana for personal use favor legalizing marijuana .,marijuana legalization,"[(0, 27), (27, 48), (48, 78)]","[(47, 54)]",-,0.0,MU,C2.1195,train,doc_4514,. A majority ( 55 % ),MU
"However , the electricity industry is already arguing that the existing facilities can be operated beyond the 50-year lifespan , as long as they are continually renovated and reequipped . ued nuclear power in the past have pu rsued weapons capability -- and indeed , some countries ' pursuit of nuclear power has hardly even elicited concerns about pr o Liquefied natural gas may be Japan 's second-best option , but its adoption will be subject to severe limitations and will increase Tokyo 's energy security vulnerability .",nuclear energy,"[(0, 38), (38, 59), (59, 88)]","[(38, 48)]",m1,0.476,SP,C1.1749,train,doc_6068,"rsued weapons capability -- and indeed , some countries '",SP
