Sentence,Topic,Indices,ArgumentIndices,Move,RValue,Class,SentenceId,Set,DocId,PredictedArgument,CoarseClass
"Some people believe that several problems occur from an information on the internet . In addition , people can gain more knowledge by using the internet , the most useful technology in the world . In the modern society , internet is considered as one of the most important inventions over the past century .",The internet provides a lot of valuable information,"[(0, 17), (17, 34), (34, 55)]","[(21, 34)]",m1,0.765,IMP,C1.2920,train,essay279,"knowledge by using the internet , the most useful technology in the world",DISP
"For example , when I go to office , I use public transport . Thus , after work , I always do exercise , and jogging is my favorite sport . In conclusion , there are many ways to reduce the stress .","Best ways of reducing stress: listening to music, exercise, meditation","[(0, 16), (16, 30), (30, 43)]","[(20, 30)]",m1,0.714,IMP,C1.2971,train,essay282,"always do exercise , and jogging is my favorite sport",DISP
There are couple reasons and examples to support my answer . Many people think they are blessed to be in the era of high technology . Ancient people would probably think that we are like magicians .,Technology designed to make people's lives simpler often make them more complicated,"[(0, 11), (11, 26), (26, 37)]","[(1, 37)]",-,0.0,MU,C2.1773,train,essay296,are couple reasons and examples to support my answer . Many people think they are blessed to be in the era of high technology . Ancient people would probably think that we are like magicians .,MU
"Getting opinions from many sources could augment people 's performance . Thereby , evaluating from students is one of the ways to improve quality of educational system . Not only teachers could amplify their performance but the whole education system are also improve performance from evaluation made by students .",Getting opinions from many sources could augment people's performance.,"[(0, 11), (11, 28), (28, 50)]","[(18, 41)]",-,0.0,MU,C2.1747,test,essay289,of the ways to improve quality of educational system . Not only teachers could amplify their performance but the whole education system are,MU
"While debating about generation issues , people always have different opinions . In conclusion , challenges for this generation are more complicated and diverse than the past generation , whether in career or in self-identification . Some people believe that little things changed through generation , while others claim that generation differences are presented in every way .",Challenges are different from generation to generation,"[(0, 15), (15, 35), (35, 58)]","[(15, 25)]",m1,0.5,SP,C1.2717,train,essay262,challenges for this generation are more complicated and diverse than,SP
"However , other people may perceive this issue from different viewpoint . With rapid development of the internet , people are able to enjoy quick electronic communication via internet . Indeed , mobile phones have been widely used for people of all ages , bringing convenience and entertainment into our life .","Mobile phone; ""Iron man"" / ""Weichat"" - destroy social interactions?","[(0, 12), (12, 29), (29, 52)]","[(12, 29)]",-,1.0,PM,C1.3620,train,essay337,"With rapid development of the internet , people are able to enjoy quick electronic communication via internet",PM
"have made artistic works which gave a social message . Like the media , artists should also be given the freedom to express their ideas freely . Creativity is the ability to think beyond the obvious .",Creativity - should it be given freedom or restrictions,"[(0, 10), (10, 26), (26, 37)]","[(13, 26)]",m1,0.812,IMP,C1.566,train,essay057,", artists should also be given the freedom to express their ideas freely",DISP
"In today 's modern and competitive society , it is undeniable that we must equip ourselves with plenty of knowledge and skills in order to shine and to be successful in life . Eventually , he used his earnings as well as his family 's loan in order to progress to be who he is now . Many opine that the aforementioned aspects are mostly obtained through learning in academic institutions .",University education is needed for success,"[(0, 35), (35, 56), (56, 72)]","[(40, 56)]",m1,0.762,IMP,C1.1063,train,essay100,well as his family 's loan in order to progress to be who he is now,DISP
"Usually the second group 's members do not have enough time to do exercise . For students who want to gather with their friends or want to go out to meet new people , university programs are the last place they would choose . We all know doing exercise for at least 30 minutes form the basis of the healthy and happy life .",Spending equal amount of money on libraries and sports?,"[(0, 15), (15, 43), (43, 64)]","[(15, 43)]",-,1.0,PM,C1.2788,train,essay268,"For students who want to gather with their friends or want to go out to meet new people , university programs are the last place they would choose",PM
"The increasing population and the technological advancements demand more energy than in the past . Thus , during summer there will be a lot of power cut in the developing countries such as India . I will analyze these areas in the essay . To generate such a vast energy the fundamental resources are falling short . Further , government should motivate and encourage the people to use alternative sources such as the solar and the nuclear energy .",Government should make more effort to promote alternative sources of energy,"[(0, 17), (17, 34), (34, 44), (44, 56), (56, 79)]","[(22, 56)]",m3,0.706,MG,C4.281,train,essay044,a lot of power cut in the developing countries such as India . I will analyze these areas in the essay . To generate such a vast energy the fundamental resources are falling short,MG
"Therefore , it comes to the debate whether advertising has positive influences on people 's life . There are the build-up of the concept about healthy eating habits and self-control that really matter . In my opinion , the advertising is not the main cause of unhealthy eating habits . We will always be able to decide our own lifestyles .",The advertising is the main cause of unhealthy eating habits,"[(0, 17), (17, 33), (33, 38), (38, 49), (49, 61)]","[(19, 49)]",m3,0.8340000000000001,MG,C3.2763,test,essay266,"the build-up of the concept about healthy eating habits and self-control that really matter . In my opinion , the advertising is not the main cause of unhealthy eating habits",MG
"These are two sides of the same coin which ca n't be separated . The modern society is full of cut-throat competition . However , co-operative approach always helps a child to become a responsible adult with good moral values and a friendly social circle .",Competition or co-operation-which is better,"[(0, 14), (14, 23), (23, 46)]","[(12, 41)]",-,0.0,MU,C2.345,train,essay058,"separated . The modern society is full of cut-throat competition . However , co-operative approach always helps a child to become a responsible adult with good moral values and",MU
"If not , you might lose another chance that you could use to accomplish other things . Thus , by doing what you are good at , you will be better at it . So , I definitely believe that you should focus on what you are good at . You may love to try new things and take risks even if you are n't good at the things .","Which do you prefer: do only what you already do well, or not.","[(0, 19), (19, 33), (33, 40), (40, 49), (49, 70)]","[(24, 49)]",m3,0.72,MG,C3.2850,train,essay274,"good at , you will be better at it . So , I definitely believe that you should focus on what you are good at",MG
"However , I do not agree with them . That also make money flow , and then economics become better . When you were so young that you did not know many kinds of animals , what should you do if there were no zoo ?",Do you agree or disagree with the statement that a zoo has no useful purpose,"[(0, 9), (9, 20), (20, 46)]","[(9, 20)]",-,1.0,PM,C1.2286,test,essay221,"That also make money flow , and then economics become better",PM
"The city where I was born used to be of a great antique beauty , which was surrounded with by lots of ancient style buildings . Unfortunately , the unstoppable trend of urbanization makes me only appreciate parts of those classic buildings in the pictures or in museums . In order to prevent the disappearance of the historic buildings , some citizens suggest the government to spend money on historic buildings .",The city which I enjoy the most is a combination of history and modernity,"[(0, 26), (26, 49), (49, 72)]","[(28, 55)]",-,0.0,MU,C2.2009,test,essay331,the unstoppable trend of urbanization makes me only appreciate parts of those classic buildings in the pictures or in museums . In order to prevent the disappearance,MU
"Nevertheless , some argue that these cameras invade their privacies due to constantly being monitored . Furthermore , at some offices , employees are often required to handle angry or frustrated customers . However , one must realize that safety is of paramount importance compared to privacy and prevention is always better than suffering from the consequences . They are used in schools , businesses and some other premises in order to monitor the activities taking place .",Use of CCTV cameras,"[(0, 18), (18, 32), (32, 35), (35, 57), (57, 78)]","[(18, 53)]",m2,0.914,MG,C3.916,train,essay085,"at some offices , employees are often required to handle angry or frustrated customers . However , one must realize that safety is of paramount importance compared to privacy and prevention is always better than",MG
"There are many advantage of these invention , telephones and email . As a result , I believe that telephones and email do not make communication between people less personal . For instant , sometime when I argue with my friends , I can not express my self to my friends at that moment . I will give several reasons to support my opinion .",Telephones and emails have made personal communication less required,"[(0, 19), (19, 30), (30, 34), (34, 54), (54, 65)]","[(19, 49)]",m2,0.867,MG,C3.2838,train,essay272,"telephones and email do not make communication between people less personal . For instant , sometime when I argue with my friends , I can not express my self to",MG
They use several ways to broaden their knowledge and their skills . People have a lot of things to learn in their lives . They should try and keep trying until they learn what they want to learn .,People learn in different ways and what teaching method do you prefer?,"[(0, 12), (12, 24), (24, 39)]","[(0, 1)]",-,0.0,MU,C2.1095,train,essay196,They,MU
"While some students study and live overseas to achieve this , some prefer to study home because of the difficulties of living and studying overseas . Therefore , one who has studied and lived overseas will become more eligible for the job than his/her peers . It is every student 's desire to study at a good university and experience a new environment .",Living and studying overseas,"[(0, 28), (28, 45), (45, 64)]","[(28, 45)]",-,1.0,PM,C1.50,test,essay005,one who has studied and lived overseas will become more eligible for the job than his/her peers,PM
"In the following paragraphs , some of my viewpoints would be given and analyzed respectively . There are plenty of people , who are now really successful , have started working in challenging as well as competitive fields as singers , dancers and painters . This is because they are doing what they love , their income however seems to be quite low compared to many other career paths . Along with the increasing physical demands of human life , salary has become the most influential consideration in defining careers of everyone .",Salary is the most important consideration when choosing a job,"[(0, 16), (16, 44), (44, 48), (48, 69), (69, 93)]","[(14, 67)]",m8,0.886,MG,C3.3974,train,essay379,"respectively . There are plenty of people , who are now really successful , have started working in challenging as well as competitive fields as singers , dancers and painters . This is because they are doing what they love , their income however seems to be quite low compared to many other",MG
"It is evident that technology promotes economy . For example , ways to build a house in every country are different and they distinguish between countries . Many people think that conventional things will not exist and should be eliminated .",Traditional skills and ways are always valuable and will last forever,"[(0, 11), (11, 26), (26, 41)]","[(12, 26)]",m1,0.933,IMP,C1.3818,test,essay364,to build a house in every country are different and they distinguish between countries,DISP
"However , I have to profoundly disagree for there are still two viable solutions besides besides this way . In conclusion , city planner can still opt for non-personal vehicle and the exploitation of the suburb areas . Second , rarely do we realize the helpful existence of urban areas .",Way to reduce the amount of traffic?,"[(0, 22), (22, 37), (37, 51)]","[(22, 29)]",m1,0.467,SP,C1.3836,train,essay365,city planner can still opt for non-personal,SP
"However , class is not the only source of knowledge . Attending university 's classes is one of activities that students have to do . Also , they have to know how to deal with the effects from not attending classes .",Attending university classes should be required or optional,"[(0, 11), (11, 25), (25, 42)]","[(8, 9)]",-,0.0,MU,C2.1015,train,essay165,of,MU
"Some students still rely on classes to keep up with the courses , while some students do n't feel the need to attend classes because they believe that they can handle the exams . Passing the exams is not the terminal purpose of learning . The learning process itself , however , is the most important and powerful way of evaluating a student .",University students should attend classes or not?,"[(0, 34), (34, 45), (45, 64)]","[(43, 49)]",-,0.0,MU,C2.1452,train,essay256,learning . The learning process itself,MU
"Advances in technology do help humans to solve abundant of problems ; however it also deprives of some things that we had . Looking out the windows , what I see is n't sky , trees or mountains , but is coldly high buildings . What 's worse , it has been proved that living in this kind of condition will result in some mental diseases . The life today is totally different from half centuries before .",People are put too much focus on making wealth and progress in technology,"[(0, 23), (23, 44), (44, 49), (49, 66), (66, 78)]","[(23, 64)]",m2,0.878,MG,C3.1325,train,essay127,"Looking out the windows , what I see is n't sky , trees or mountains , but is coldly high buildings . What 's worse , it has been proved that living in this kind of condition will result in some",MG
"Therefore , some people assert that there is no need to learn other subjects for younger students . Art and music are , of course most accessible tools for modern people to liberate themselves from the extremely stressful life . Undoubtedly , math , language , science and history are all extremely important subjects in student 's education since these subjects provide students the basic understanding of the world .",Younger school children should study art and music,"[(0, 18), (18, 39), (39, 70)]","[(20, 39)]",m1,0.905,IMP,C1.2701,train,essay261,"music are , of course most accessible tools for modern people to liberate themselves from the extremely stressful life",DISP
"If authorities do not take steps to appropriately conserve these precious values , they will be destroyed in the near future . Secondly , there are clear evidences that tourism increasingly create harms to the natural habitats of the destination appeals . The last 50 years have seen a significant increase in the number of tourist traveling worldwide .",International tourism is now more common than ever before,"[(0, 29), (29, 41), (41, 59)]","[(18, 41)]",m6,0.417,SP,C1.38,test,essay004,"the near future . Secondly , there are clear evidences that tourism increasingly create harms to the natural habitats of the destination appeals",SP
"I see many things such as traffic jam , crowded people at bus stop , and all so crowded people in buses . Thus , many people try to reduce their stress . when I have many things to think about , and this make me stress , I will do meditation .","Best ways of reducing stress: listening to music, exercise, meditation","[(0, 23), (23, 33), (33, 53)]","[(18, 27)]",-,0.0,MU,C2.1667,train,essay282,"crowded people in buses . Thus , many people",MU
"However , if those with exaggerated and fake information could be banned , advertisements would be welcomed by more . Taken all together , advertisements have its social responsibility and contribute to economic growth . In a larger sense , it could simulate household spending and therefore promote the economic development of the whole country . Never in history was advertising industry so developed as in modern society and it has led to some adverse sentiments in public because some deliver exaggerated and fake information .",Should all the advertisements be banned?,"[(0, 24), (24, 34), (34, 40), (40, 55), (55, 86)]","[(24, 51)]",m2,0.7769999999999999,MG,C3.762,test,essay071,"advertisements have its social responsibility and contribute to economic growth . In a larger sense , it could simulate household spending and therefore promote the economic development",MG
"Nowadays , number of television channels and programs are increasing everyday . Some thriller or action movies advertise negative activities such as doing criminal activity . At the end , there is no time for call to our parents or friends . It is very hard to find a home that does not have a television .",Television is the culprit for destroying communication between friends & family,"[(0, 12), (12, 25), (25, 30), (30, 41), (41, 57)]","[(12, 41)]",m1,0.827,MG,C3.194,train,essay017,"Some thriller or action movies advertise negative activities such as doing criminal activity . At the end , there is no time for call to our parents or friends",MG
"This idea may point out to two main directions , both of which present different arguments . This is where the computer proves to be incompetent . On the other hand , critics of this idea maintain that although the educational benefits that the Internet may yield are undeniable , there still remain certain shortcomings .",Computers replace human teachers,"[(0, 17), (17, 26), (26, 56)]","[(17, 26)]",-,1.0,PM,C1.1264,test,essay119,This is where the computer proves to be incompetent,PM
"I think that there should be a modification in the salary of professional singers and athletes to balance with those of people in other fields , namely science and society , who are the driving forces for the prosperity of the nation . I believe that their salary at a lower level would be more appropriate compared with other peoples in scientific or social , economic fields . However , that is not equal to their actual contributions to the society .",Whether athletes and singers are overpaid?,"[(0, 46), (46, 67), (67, 82)]","[(46, 67)]",-,1.0,PM,C1.1247,train,essay118,"their salary at a lower level would be more appropriate compared with other peoples in scientific or social , economic fields",PM
"I do agree to that opinion to a certain degree . In today 's modern and competitive society , it is undeniable that we must equip ourselves with plenty of knowledge and skills in order to shine and to be successful in life . Natural talent and hard work also contribute to their progress .",University education is needed for success,"[(0, 11), (11, 44), (44, 55)]","[(11, 25)]",-,0.0,MU,C2.643,train,essay100,"In today 's modern and competitive society , it is undeniable that we must",MU
"There are many interesting programs on television which anyone can enjoy at little cost . To illustrate my point , it is reported that most of people do n't converse with their family when they are watching television together . Compared to other hobbies such as going to theater or going to sports stadium , it is a very cost-effective hobby that gives viewer quiet a few indirect experiences .",Television has more bad than good in respect of bonds with family and friends,"[(0, 20), (20, 39), (39, 70)]","[(20, 39)]",-,1.0,PM,C1.2510,train,essay244,it is reported that most of people do n't converse with their family when they are watching television together,PM
"I will give several reasons to support my opinion . To begin with , telephones and email help people , who live far away from other people , to connect each other . There are many advantage of these invention , telephones and email .",Telephones and emails have made personal communication less required,"[(0, 14), (14, 32), (32, 45)]","[(14, 23)]",m1,0.5,SP,C1.2827,train,essay272,"telephones and email help people , who live far",SP
"A lot of people think that zoos have no use , or provide no purpose . The reason why most people oppose to zoos is that in some of them the animals are not very well taken care of and they do not have good and clean facilities . Zoos are big outdoor spaces in which different animal species are kept , so that people can look , learn and admire them .",Zoos have no useful purpose?,"[(0, 26), (26, 48), (48, 73)]","[(26, 37)]",m1,0.5,SP,C1.1839,train,essay173,in some of them the animals are not very well taken,SP
"But in the future , it seems that the distance learning become more popular and ordinary in schools . Almost every school develops their online class systems . During these digital age , the online classes has become more interest and more common in the society .",Distance learning and online computer classes should replace classroom,"[(0, 19), (19, 28), (28, 47)]","[(28, 36)]",-,0.0,MU,C2.1128,test,essay204,"During these digital age , the online classes",MU
"Some people believe that studying hard is essential part for children , otherwise others people think that playing sport is waste of time . At the same time , playing sports will give good effects on children . Naturally , children will be growing up and looking for their job .",Children should studying hard or playing sport? Both can improve their future,"[(0, 29), (29, 37), (37, 51)]","[(23, 37)]",m6,0.375,SP,C1.4136,train,essay402,". At the same time , playing sports will give good effects on children",SP
"However , some people think that dressing in a personal style should be advocated rather than following fashion trends . Without following fashion trends , such people would have a hard time choosing and matching clothes , let alone forming their own dressing styles . With increasing availability to the Internet , people can collect a wealth of information about the latest fashion trends over the world , such as the most popular shoes style this season or the best-liked clothes color this year .",should one follow fashion trends rather than a personal style?,"[(0, 20), (20, 44), (44, 85)]","[(20, 32)]",m1,0.5,SP,C1.977,train,essay092,"Without following fashion trends , such people would have a hard time",SP
"However , class is not the only source of knowledge . As a result , I spent the time of biology class to do my Chemistry research and got A+ for both biology and chemistry . Students also learn from other sources such as experience , libraries and other people .",Attending university classes should be required or optional,"[(0, 15), (15, 35), (35, 51)]","[(15, 25)]",m1,0.5,SP,C1.1773,train,essay165,I spent the time of biology class to do my,SP
"However , some people are worried that the economic targets in industrialized countries may be attained at the expense of the ecosystems . If a firm is environmentally conscious , it may have to make optimal use of its resources to improve its production lines and equipment , which can boost productivity . Currently , a great number of countries have pushed forward their economies by developing national industries .",Economic development vs environment,"[(0, 23), (23, 52), (52, 70)]","[(26, 52)]",m1,0.897,IMP,C1.830,train,essay078,"is environmentally conscious , it may have to make optimal use of its resources to improve its production lines and equipment , which can boost productivity",DISP
"It might be easy to take praises but hard to accept criticism . Personally , I agree with this statement . Does n't insistence also a good character ?",People who can’t accept others’ criticism can’t succeed in group working,"[(0, 13), (13, 21), (21, 29)]","[(12, 27)]",-,0.0,MU,C2.1377,train,essay251,". Personally , I agree with this statement . Does n't insistence also a good",MU
"Still , I an firmly convinced that the reasons I have proposed in favor of my sentiment are much more tenable and cogent . He must need a better auditorium for him to have an extraordinary performance . However , according to my limited understanding , I just doubt the credibility of that saying owing to its imprudence .",Improving facilities is the best way,"[(0, 24), (24, 37), (37, 59)]","[(24, 37)]",-,1.0,PM,C1.1510,train,essay145,He must need a better auditorium for him to have an extraordinary performance,PM
That is why many governments around the world invest more money on developing public transportation facilities . Both these two things are important . Whether governments should invest more money in traffic infrastructure or focus more on developing public transportation has erupted endless controversy .,Should governments spend more money on improving roads and highways,"[(0, 17), (17, 24), (24, 45)]","[(9, 12)]",-,0.0,MU,C2.59,train,essay010,more money on,MU
"Environmental protection and economic developments might be the biggest issues in the 21st century . First , environmental protection is far more urgent than economic developments . As mentioned in the second paragraph , how can a man live happily if he is unhealthy ?",Environmental protection vs Economic developments,"[(0, 17), (17, 26), (26, 45)]","[(17, 26)]",-,1.0,PM,C1.2613,train,essay254,environmental protection is far more urgent than economic developments,PM
"I would explore my primary reasons here . Moreover , we can not always lean on our luck to be successful . But I think Ronaldo make a goal from a penalty-kick with more possibility than me . Also it is ridiculous if you think world wide webs such as Google , Yahoo etc .",What's more important: hard work or luck?,"[(0, 10), (10, 21), (21, 22), (22, 37), (37, 55)]","[(8, 35)]",m8,0.8879999999999999,MG,C3.2658,train,essay257,"Moreover , we can not always lean on our luck to be successful . But I think Ronaldo make a goal from a penalty-kick with more possibility",MG
"Their success should be attributed to many different external factors . Sharing the same age , children are at their most comfort to exchange ideas , to query and interpret abstract concepts without fear of parental punishments , resulting in deeper comprehension . It goes without saying that no pupil can succeed at school unassisted .",Classmates' impacts on children's performance at school,"[(0, 11), (11, 42), (42, 56)]","[(11, 25)]",m4,0.452,MISP,C1.4041,test,essay386,"Sharing the same age , children are at their most comfort to exchange ideas",DISP
"However , how early the children leave their parents is a difficult issue . Therefore , he may have to rent a house and the rental would become a burden for parents . Furthermore , living at home costs less than living outside . Learning to be independent is essential for young adults .",Learning to be independent is essential for young adults,"[(0, 16), (16, 32), (32, 35), (35, 43), (43, 54)]","[(21, 43)]",m3,0.864,MG,C3.2259,test,essay220,"a house and the rental would become a burden for parents . Furthermore , living at home costs less than living outside",MG
"Learning is a thing that we do in all of our lives . Getting the best lessons , besides our abilities to self-study , depends on our teachers a lot . I whole-heartedly agree with this opinion because of these following reasons .",Parents are our teachers from the very early time in our life,"[(0, 13), (13, 31), (31, 43)]","[(3, 14)]",-,0.0,MU,C2.1977,train,essay323,thing that we do in all of our lives . Getting,MU
"Personally , I prefer to see good people get rewarded . And if they can , they will be good people no matter how the story ends . When we watch movies or dramas , some of us like to see good people have a good ending and bad people are punished .",Should good people are rewarded and bad people are punished in movies or dramas?,"[(0, 12), (12, 27), (27, 53)]","[(15, 27)]",m1,0.8,IMP,C1.3021,train,essay284,", they will be good people no matter how the story ends",DISP
"If someone exchange my friends with thousands of acquaintances , I will definitely say NO . Second , close friends can easily understand each others feelings . There is no need for me to put any emphasis on the advantage of having a large number of casual acquaintance .",One or two close friends vs. a large number of casual acquaintances,"[(0, 18), (18, 26), (26, 49)]","[(18, 26)]",-,1.0,PM,C1.1308,test,essay126,close friends can easily understand each others feelings,PM
"Yet , there remains some disagreement as to whether the overall effect of this innovation has been positive or negative . To begin with , mobile phones and other tools of modern communication facilitate not only contact with friends and relatives in faraway places but also global business . Modern communication technologies such as mobile phones , e-mails and internet chat programs like the MSN Messenger have brought significant changes to our lives in recent years .",Do modern communication technologies benefit all people,"[(0, 25), (25, 48), (48, 77)]","[(25, 36)]",m1,0.478,SP,C1.461,train,essay049,mobile phones and other tools of modern communication facilitate not only,SP
"There is a hotly debated issue over whether people have to live at a higher or lower pace , and this topic can also be approached from several different angles due to its complexity . I do not think that those people with slower pace losing the piano competition can be really happy . Some people tend to be hurry to complete their tasks , while others seem to prefer the opposite position .",Living in a higher pace is better,"[(0, 35), (35, 53), (53, 74)]","[(36, 53)]",m1,0.944,IMP,C1.1352,test,essay129,do not think that those people with slower pace losing the piano competition can be really happy,DISP
"The best example of it is how babies learn about basics survival habits during their childhood . , but those challenges of their initial life teach them important survival lessons which help them for whole life . I agree with the statement that our life seems tough at the time but those difficult experiences of life become important lessons for the future .",Every experience always gives us something to learn and keep for life,"[(0, 19), (19, 36), (36, 63)]","[(19, 27)]",m1,0.471,SP,C1.3393,train,essay317,those challenges of their initial life teach them,SP
These researches can be aimed for several fields such as business or agriculture . This centre can also help people there to solve their issues related to their land . Most of the universities in the world seek to develop some research in some countries .,A university plans to devlope a new research centre in your country,"[(0, 14), (14, 29), (29, 46)]","[(17, 29)]",m1,0.8,IMP,C1.1981,train,essay195,also help people there to solve their issues related to their land,DISP
"As a result of this , print media such as newspapers have experienced a dramatic decline in the number of readers . First of all , to obtain information , using the internet is quicker and more convenient than reading newspapers . The question arises as to whether or not a person spends an extra money buying newspapers to receive the same , even usually less information than those he can have with the internet ?",Will newspapers become a thing of the past?,"[(0, 26), (26, 41), (41, 76)]","[(26, 33)]",m1,0.467,SP,C1.73,train,essay007,"to obtain information , using the internet",SP
"However , some people especially young ones use computers extremely and this excessive usage lead to increase stress among them , but computers have brought many advantages to our lives . For example , many processes of production of cars are carrying out by robots , which are controlled by computers . Computers have revolutionized our lifestyle during last century .",People benefit more from coming computers into their lives,"[(0, 34), (34, 51), (51, 61)]","[(34, 51)]",-,1.0,PM,C1.3500,train,essay326,"many processes of production of cars are carrying out by robots , which are controlled by computers",PM
"In conclusion , the use of foreign language instruction as early as kindergarten is supported by some people ; however , there are those who disagree . Some people believe that foreign language instruction should start in pre-school . This issue has garnered some attention in the academe as it has an impact on the children 's learning .",Foreign language instruction should begin in kindergarten,"[(0, 27), (27, 39), (39, 59)]","[(2, 22)]",-,0.0,MU,C2.2113,test,essay355,", the use of foreign language instruction as early as kindergarten is supported by some people ; however , there",MU
"However , some people point that technology has made children less creative . First , technology inspires children to create new things . With advanced technology , many things that seemed impossible in the past , have become realities .",Technology inspires children's creativity instead of weakening it,"[(0, 15), (15, 22), (22, 40)]","[(14, 22)]",m6,0.429,SP,C1.132,train,essay013,", technology inspires children to create new things",SP
"With the development of the economy , people become more and more rich . Nowadays , the fast development of economy is gradually destroying our environment very quickly . They start to pay attention to mental requirement like happiness .",Your job has more effect on your happiness than your living environment does,"[(0, 14), (14, 28), (28, 40)]","[(15, 28)]",m1,0.929,IMP,C1.2478,train,essay242,", the fast development of economy is gradually destroying our environment very quickly",DISP
